Album,Song,Lyrics,Year,views
Make Out,ILYSB,"[Verse]
Ain't never felt this way
Can't get enough so stay with me
It's not like we got big plans
Let's drive around town holding hands

[Pre-Chorus]
And you need to know
You're the only one, alright, alright
And you need to know
That you keep me up all night, all night

[Chorus]
Oh, my heart hurts so good
I love you, babe, so bad, so bad
Oh, oh my heart hurts so good
I love you, babe, so bad, so bad

[Verse]
Mad cool in all my clothes
Mad warm when you get close to me
Slow dance these summer nights
Our disco ball's my kitchen light

[Pre-Chorus]
And you need to know
That nobody could take your place, your place
And you need to know
That I'm hella obsessed with your face, your face
[Chorus]
Oh, my heart hurts so good
I love you, babe, so bad, so bad
Oh, oh my heart hurts so good
I love you, babe, so bad, so bad
Oh, oh my heart hurts so good
I love you, babe, so bad, so bad, oh

[Pre-Chorus]
And you need to know
You're the only one alright, alright
And you need to know
That you keep me up all night, all night

[Chorus]
Oh, my heart hurts so good
I love you, babe, so bad, so bad
Oh, oh my heart hurts so good
I love you, babe, so bad, so bad, oh
So bad, oh
Oh, my heart hurt
Oh, my heart hurt
Oh, my heart hurt
So bad, oh",2015,192.1K
Make Out,Walk Away,"[Verse]
You and I would be just fine
If I was the one
To stay the day and waste away
But I tend to run

[Chorus]
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be

[Verse]
It ain't fair, I don't care
Don't know what to say
Same old song, life goes on
I wish I could change

[Chorus]
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be
[Bridge]
Walk away, walk away
Walk away, walk away
Walk away, walk away
Walk away, walk away
Walk away, walk away
Walk away, walk away

[Chorus]
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be (Walk away, walk away)
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be (Walk away, walk away)
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be (Walk away, walk away)
I'm too good at leaving love
I'm too good at leaving love
I don't wanna be",2015,78.9K
Make Out,"Bad, Bad, Bad","[Verse]
Back to high school love
The kind without the drugs
We were just two city kids
We would run around
And tear a few things down
But that's the worst that it would get

[Chorus]
Bad, bad, bad we're in trouble now
Or so, so, so they say
They think they've got us figured out
But we kinda like it, that way

[Verse]
It was just a crush
But wild and dangerous
You and I were out too late
Started in my car
Might have gone too far
But we were down to make mistakes

[Chorus]
Bad, bad, bad we're in trouble now
Or so, so, so they'd say
They think they've got us figured out
But we kinda like it, that way
[Bridge]
They say we're going to hell
Let's find a cheap motel
And stay a couple nights
And when our time is done
We'll go back on the run
Do whatever we like

[Chorus]
Bad, bad, bad we're in trouble now
Or so, so, so they'd say
They think they've got us figured out
But we kinda like it, that way

[Bridge]
They say we're going to hell
Let's find a cheap motel
And stay a couple nights
And when our time is done
We'll go back on the run
Do whatever we like
They say we're going to hell
Let's find a cheap motel
And stay a couple nights
And when our time is done
We'll go back on the run
Do whatever we like",2015,62.1K
Make Out,Made in Hollywood,"[Verse]
Turn off the lights, come and lay with me
Write your name on my hand, just like we're seventeen
Orange through the blinds, the sun is almost down
It's just a matter of time until we run this, town

[Pre-Chorus]
Young love
West Coast
Who cares?
Who knows?
Young love
West Coast
Who cares?
Who knows?

[Verse]
Keep it low key, so we rep all black
Wear our shades on our nose, 'cause we're cool like that
Drive to the beach, kiss me nice and slow
Michael Jackson so loud on my radio

[Pre-Chorus]
Young love
West Coast
Who cares?
Who knows?
Young love
West Coast
Who cares?
Who knows?

[Chorus]
We'll dream about it
Talk, talk about it
Won't live without it
Made in Hollywood
We'll dream about it
Talk, talk about it
Won't live without it
Made in Hollywood

[Pre-Chorus]
Young love
West Coast
Who cares?
Who knows?
Young love
West Coast
Who cares?
Who knows?

[Chorus]
We'll dream about it
Talk, talk about it
Won't live without it
Made in Hollywood
We'll dream about it
Talk, talk about it
Won't live without it
Made in Hollywood",2015,59K
Make Out,Kiss,"[Verse]
The sun is down
You're not around, wait a minute
Where are you?
Just tell the truth, you won't admit it

[Chorus]
I hope it was worth all this and I know that you feel like sh..
Don't you tell me ""It was just a kiss""
I hope you always regret
And I know that you won't forget how I loved ya
You're gonna miss my lips

[Verse]
It's kinda fine
Been outta line for a minute
You don't care
And I've been scared to admit it

[Chorus]
I hope it was worth all this and I know that you feel like sh..
Don't you tell me ""It was just a kiss""
I hope you always regret
And I know that you won't forget how I loved ya
You're gonna miss my lips
[Chorus]
I hope it was worth all this and I know that you feel like sh..
Don't you tell me ""It was just a kiss""
I hope you always regret
And I know that you won't forget how I loved ya
You're gonna miss my lips

[Chorus]
I hope it was worth all this and I know that you feel like sh..
Don't you tell me ""It was just a kiss""
I hope you always regret
And I know that you won't forget how I loved ya
You're gonna miss my lips",2015,15.8K
Make Out,BRB,"[Verse]
LA, LA, where you and I found, found each other
LA, LA, dirty good love don't last forever
New York, New York, you've stolen my heart and run it over
New York, New York, New York, New York

[Chorus]
Be right back, I'm gonna cry myself, myself to sleep
How'd you in fall in love, in love, without me?
Be right back, I'm gonna throw, myself, against the wall
Be right back, tell me you'll be right back

[Verse]
You were, you were, the drug of my choice, my great escape now
You are, you are, the drug of the town, who hasn't had a taste?
Come on, come on, everything’s fine, fine in LA
New York, New York, no more, no more

[Chorus]
Be right back, I'm gonna cry myself, myself to sleep
How'd you in fall in love, in love, without me?
Be right back, I'm gonna throw, myself, against the wall
Be right back, tell me you'll be right back

[Outro]
LA, New York
LA, New York
LA, New York
But I want you more
LA, New York
LA, New York
LA, New York
LA, New York
But I want you more
LA, New York",2015,31K
kinda,like you lots,"[Verse]
Grab your coat
The sun sets right at 6:35 tonight
Gets kinda cold, but I wanna hold ya
Please tell me that's alright

[Pre-Chorus 1]
It's been a while since we first met at the party up on the hill
And I'm thinking we should make out if you want me still

[Chorus]
You are my number one, baby
I like you lots
I think everybody knows, baby
I like you lots

[Verse]
Windows down, we can smell the ocean
It's hard to see through our hair
When we're together, we look like the coolest
Babe you know they all stare

[Pre-Chorus]
It's been a while since we first met at the party up on the hill
And I'm thinking we should make out if you want me still
[Chorus]
You are my number one, baby
I like you lots
I think everybody knows, baby
I like you lots
You are my number one, baby
I like you lots
I think everybody knows, baby
I like you lots

[Pre-Chorus 2]
It's been a while since we first met at the party up on the hill
Do you think that we should make out?
You know I want you still

[Chorus]
You are my number one, baby
I like you lots
I think everybody knows, baby
I like you lots
You are my number one, baby
I like you lots
I think everybody knows, baby
I like you lots
I like you lots
I like you lots",2016,63.1K
kinda,"yea, babe, no way","[Verse]
White jeans, daydream
You and me, our sheets
Wearing Nike
Kissing, no sleep

[Pre-Chorus]
Damn, tell me where we went wrong
Been in love for so long, now it's over
How, how did we get this far?
Still not know who we are
Is this really over?

[Chorus]
Everything was better when
You would call and I'd be like, ""yeah, babe""
We should talk about love again
Every night I'm wide awake
I almost call you, then I'm like, ""no way""
Oh, no way

[Verse]
Hate how it feels
I know you're down the street
With someone else but me
Time, yeah, I need time
Can't forget about how you let me down
[Pre-Chorus]
Damn, tell me where we went wrong
Been in love for so long, now it's over
How, how did we get this far?
Still not know who we are
Is this really over?

[Chorus]
Everything was better when
You would call and I'd be like, ""yeah, babe""
We should talk about love again
Every night I'm wide awake
I almost call you, then I'm like, ""no way""
Oh, no way

[Instrumental Bridge]

[Chorus]
Everything was better when
You would call and I'd be like, ""yeah, babe""
We should talk about love again
Every night I'm wide awake
I almost call you, then I'm like, ""no way""
Oh, no way
Everything was better when
(Tell me where we went wrong)
You would call and I'd be like, ""yeah, babe""
(Been in love for so long)
We should talk about love again
Every night I'm wide awake
(How did we get this far)
I almost call you, then I'm like, ""no way""
(Still don't know who we are)
Oh, no way",2016,99.3K
kinda,pink skies,"[Verse]
Thrift store fashion
Imperfect tattoos
Taking showers
Minus shampoo

[Pre-Chorus]
You are my favorite everything
Been telling girls that since I was 16
Shut up, I love you
You're my best friend

[Chorus]
Get ya under pink skies, I know exactly where we should go
'Cause I love the way your green eyes mix with that Malibu indigo
Talking under pink skies, I think our hearts are starting to show
That it's better, you and I, under pink skies

[Verse]
Underwear, I kinda care
Wanna look good for you
British bomb, you turn me on
No matter what ya do

[Pre-Chorus 2]
You are my favorite everything
Been telling you that since 2015
Shut up, I love you
You're my best friend

[Chorus]
Get you under pink skies, I know exactly where we should go
'Cause I love the way your green eyes mix with that Malibu indigo
Talking under pink skies, I think our hearts are starting to show
That it's better, you and I, under pink skies

[Bridge]
We can work it out
You and I are meant to be together
This is how it's supposed to feel
I'm in love with how this feels

[Chorus]
Get ya under pink skies, I know exactly where we should go
'Cause I love the way your green eyes mix with that Malibu indigo
Talking under pink skies, I think our hearts are starting to show
That it's better you and I under pink skies
Get you under pink skies, I know exactly where we should go
'Cause I love the way your green eyes mix with that Malibu indigo
Talking under pink skies, I think our hearts are starting to show
And it's better, you and I, under pink skies",2016,556.1K
kinda,current location,"[Verse]
How'd you fail to mention
That you might be moving
In four months to London?
Now our days are numbered
""Should I try?"" I wonder
Wait, how far is London?

[Chorus]
I need my current location
To be your current location
Fly back to me
I need my current location
To be your current location
Fly back to me
Fly back to me

[Verse]
You say it's just the season
Got the job, so now you're leaving
Kinda hate that reason
Please, don't get me wrong now
I want what you want
But how long will you be gone?

[Chorus]
I need my current location
To be your current location
Fly back to me
I need my current location
To be your current location
Fly back to me
Fly back to me
[Bridge]
Don't make me look stupid
For waiting just to lose ya
Love me? Can you prove it?

[Chorus]
I need my current location
To be your current location
Fly back to me
I need my current location
To be your current location
Fly back to me
I need my current location
Fly back to me
I need my current location

[Outro]
Fly back to me, come back to me, then stay with me, yeah
Fly back to me, come back to me, then stay with me, yeah
Fly back to me, come back to me, can you stay with me?
Fly back to me, come back to me, then stay with me, yeah",2016,179.7K
